ID,sp,sp.x,body_PC1,body_PC2,LPJ_PC1,LPJ_PC2,sp.y,oral_PC1,oral_PC2,d15N,d13C
20A1,Cteben,Cteben,-0.0415696823604339,-0.0655552788883428,0.0274463053657947,0.0289172865233854,Cteben,0.0454907396426784,0.00204572171120416,NA,NA
88-06,Neonve,Neonve,0.0548905698998635,-0.017978285885602,0.0880208604405808,0.0352952963648362,Neonve,0.0106810210789339,0.00849519271427638,6.36225258,-21.47327661
88-09,Tellon,Tellon,0.0479388628692657,0.0735729179053536,-0.00464689743074953,0.0600096857674403,Tellon,-0.00945462763689662,0.0109253143974551,NA,NA
88-10,Lammel,Lammel,0.0107528575360487,-0.0184553862841328,0.0446845653322017,0.0437562983573781,Lammel,0.00835110637296804,0.00596511179362221,4.952690933,-18.43343208
88-19,Neogra,Neogra,0.0129263017514979,0.00797901416679234,0.0602334023171813,0.0164075518362565,Neogra,0.0123052782162476,0.00380758819222509,6.578953231,-22.44995166
89-07-a,Neogra,Neogra,0.00819115882412711,-0.0370398997326032,0.0714076905468003,0.0216643146693888,Neogra,0.0124881423964601,0.00781557665299472,5.639581769,-21.72942695
89-15-b,Neohel,Neohel,0.00415219361019118,-0.0111912917027922,0.0374137498627641,0.0583262548172286,Neohel,0.0125310034507389,-0.0002590534845441,6.098831326,-19.19684752
89-15-c,Neohel,Neohel,0.00252607734402194,-0.0182937958435556,0.0445966934050491,0.018222722235485,Neohel,0.0131270326423362,0.00489329911382329,5.861254481,-18.07097563
89-15-d,Neohel,Neohel,0.0134446674783545,-0.0209797833791885,0.0471955035293856,0.0276384391779897,Neohel,0.014005795742479,0.00523561132713292,6.0779564,-18.43134903
89-16-a,Neomar,Neomar,-0.0282380475032336,-0.0149566128372029,0.0871636476818108,-0.0765131910661467,Neomar,0.00404388281223349,0.00425048543688862,5.523277919,-21.36498383
89-16-b,Neomar,Neomar,-0.0238111375458629,-0.0169273313220349,0.0892235414294918,-0.0883417663115163,Neomar,0.00498124404745474,0.00389347567013019,5.597831687,-20.17161832
89-17,Neogra,Neogra,0.0207003777497077,0.00442149707470644,0.0757620200508387,0.0083684326791789,Neogra,0.0096573613364573,0.00455626584275809,6.586905538,-21.61593009
89-28-a,Lammel,Lammel,0.0136907506511098,-0.0528017372413956,0.0743574729266195,0.0500579685101017,Lammel,0.0168000118521587,-0.00592072444796525,5.568010188,-17.66684508
89-28-b,Lammel,Lammel,0.0246896652882551,-0.0190468331555704,NA,NA,NA,0.0105697678859873,-0.00559552732118306,NA,NA
89-30-a,Neospl,Neospl,-0.000436339133424426,-0.0186901803565481,0.0137225847642189,0.0244282379152598,Neospl,0.0181286546619967,-0.00912090645665072,6.864241785,-18.2188758
89-30-b,Neospl,Neospl,0.00163748859278991,-0.0109061646238689,0.0143862208571495,0.0319125477002078,Neospl,0.00882898703417381,-0.00619834491169598,6.469608935,-18.70943351
89-30-c,Neospl,Neospl,-0.00879354088750441,-0.0140632286151816,0.0285408648735483,0.0391278201372409,Neospl,0.0113066406465644,-0.00543813128146692,6.762850143,-18.39906166
89-30-d,Neospl,Neospl,-0.0145691177862101,-0.0218671279809148,0.0266858980253847,0.0266068978376119,Neospl,0.0160533716800821,-0.00628444739749505,6.321496892,-19.01771467
89-30-e,Neospl,Neospl,-0.000245809915481244,-0.022031125156996,0.0366099308060541,0.0341525865457066,Neospl,0.0187092126363813,-0.0082770492101765,6.347341965,-19.62696412
89-31-a,Neonve,Neonve,0.0476019354389568,0.0219683503964037,0.091360645348615,0.027391228893772,Neonve,0.00762500830278411,0.00562210504358025,8.543150652,-20.29241794
