fish_n,species_true,species_our_names,species_six,six_letter_name_Ronco,genome,tribe,notes,size_male,size_female,habitat,habitat_details,diet,diet_contents,breeding,mouth_brooder,monogomous,parental_care,sociality,distribution,comments/links
12,Altolamprologus calvus,Aaltolamprologus calvus,Altcal,Altcal,,Lamprologini,,15,9,Shallow Rocky Habitat,,Invertivore,Shrimps / Crustaceans / Eggs,Cave / Crevice Brooders,No,No,Little (guarding of eggs only),,Lake-wide,
3,Altolamprologus compressiceps,Altolamprologus compressiceps,Altcom,Altcom,,Lamprologini,,15,9,Shallow Rocky Habitat,,Invertivore,Shrimps / Crustaceans / Eggs,Cave / Crevice Brooders,No,No,Little (guarding of eggs only),,Lake-wide,
7,Altolamprologus shell,Altolamprologus shell,Altshe,Altshe,,Lamprologini,,,,Shallow Rocky Habitat,,Invertivore,Shrimps / Crustaceans / Eggs,Cave / Crevice / Shell Brooders,No,No,Little (guarding of eggs only),,,
11,"Astatotilapia burtoni ""chipwa""",Astatotilapia burtonichipwa,Astbur,Astbur,,Haplochromini,,,,Riverine,,,,,Yes,,,,,
12,Aulonocranus dewindti,Aulonocranus dewindti,Auldew,Auldew,,Ectodini,,13,13,Intermediate Habitat,,Invertivore,Insect larvae / Custaceans / Phytoplankton at night,Lek brooders,Yes,No,Yes,,Lake-wide,
7,Boulengerochromis microlepis,Boulengerochromis microlepis,Boumic,Boumic,,Boulengerochromini,,50,40,Sandy Habitat,,Piscivore,Large Invertebrates / Fish,Substrate brooder flat areas near rocks,No,Yes,Yes,,Lake-wide,
12,Callochromis pleurospilus,Callochromis pleurospilus,Calple,Calple,,Ectodini,,11,,Shallow Sandy Habitat,,Invertivore,Insect larvae / snails / Crustaceans / Invertebrates,Lek brooders,Yes,No,Yes,,Lake-wide?,
2,Chalinochromis cyanophleps,Chalinochromis cyanophleps,Chacya,Chacya,,Lamprologini,,17,17,Shallow Rocky Habitat,,Invertivore,Sponges / Invertebrates,Cave/substrate spawner,No,Yes (but sometimes multiple males),Yes,,?,
8,Ctenochromis horei,Ctenochromis horei,Ctehor,Ctehor,,Trophenini,,18,,Intermediate Habitat,,Invertivore,Invertebrates / Custaceans,Sandy spawning sites,Yes,No,Yes,,Lake-wide,
11,"Cyprichromis coloratus ""jumbo""",Cyprichromi coloratus jumbo,Cypcol,Cypcol,,Cyprichromini,,14,14,Deep Rocky Habitat,,Zooplanktivore,Plankton,Lek brooders,Yes,No,Yes,,Southern-shore,
11,Cyphotilapia frontosa,Cyphotilapia frontosa,Cypfro,Cphfro,,Cyphotilapiini,,35,35,Deep Rocky Habitat,,Piscivore,Fish,Mouth brooder,Yes,No,Yes,,Lake-wide,
12,Cyprichromis leptosoma,Cyprichromis leptosoma,Cyplep,Cyplep,,Cyprichromini,,9,9,Deep Rocky Habitat,,Zooplanktivore,,Lek brooders,Yes,No,Yes,,South-Eastern Shore,
11,Enantiopus melanogenys,Enantiopus melanogenys,Enamel,Enamel,,Ectodini,,16,16,Shallow Sandy Habitat,,Invertivore,Invertebrates,Lek/Bower brooders,Yes,No,Yes,,Lake-wide (minus small part),
6,Eretmodus cyanostictus,Eretmodus cyanostictus,Erecya,Erecya,,Eretmodini,,8,7,Upper Rocky Habitat,,Algivore,Filamentous Algae / Microorganisms),Rocky surface,Yes,No?,Yes,,Southern-shore,Size reference: https://www.researchgate.net/publication/222683201_Size-assortative_mating_in_the_absence_of_mate_choice#pf8
7,Gnathochromis pfefferi,Gnathochromis pfefferi,Gnapfe,Gnapfe,,Trophenini,,14,14,Intermediate Habitat,weeds/vegetated area,Invertivore,Shrimps / Crustaceans,Terretorial spawning (no specific location),Yes,No,Yes,,,
11,Julidochromis dickfeldi,Chalinochromis dickfeldi,Chadic,Juldic,,Lamprologini,,,,Shallow Rocky Habitat,,Invertivore,Sponges / Invertebrates,Cave/substrate spawner,No,Yes (but sometimes multiple males),Yes,,South-western corner,
4,Julidochromis marksmithi,Julidochromis marksmithi,Julmar,Julmrk,,Lamprologini,Combine with Julmrk and call Julmrk,10,15,Intermediate Habitat,rocky crevices,Algivore,Sponges / Plankton / Algae,Rocky crevices,No,Yes (with helpers),Guard fry until independence,,Middle Eastern-shore,
11,Julidochromis ornatus,Julidochromis ornatus,Julorn,Julorn,,Lamprologini,,9,9,Intermediate Habitat,rocky crevices,Algivore,Sponges / Plankton / Algae,Rocky crevices,No,Yes (with helpers),Guard fry until independence,,Tip of southern-shore,
